SampleName	SampleID	occurence
11097	GB01012674S	15027
5016	GB01015544S	39319
586	GB01001151S	152695
7812	GB01003019S	25332
4870	GB01007549S	40071
18486	GB01019351S	548
10217	GB01018281S	17505
9144	GB01009331S	20591
3448	GB01017890S	49904
10196	GB01009364S	17569
17061	GB01004213S	3213
17770	GB01021720S	1531
15897	GB01019869S	6733
11034	GB01018753S	15168
12639	GB01001315S	11938
18425	GB01021201S	612
15736	GB01001972S	7076
18177	GB01021702S	960
482	GB01012371S	165963
15163	GB01001557S	8327
3412	GB01012456S	50246
8226	GB01001340S	23744
1650	GB01001300S	80997
16092	GB01002303S	6288
1149	GB01007949S	104721
512	GB01003693S	161329
16642	GB01024262S	4526
8630	GB01003372S	22315
15357	GB01015640S	7929
3950	GB01016681S	45921
3750	GB01008455S	47449
821	GB01003900S	129090
1939	GB01001535S	71870
16904	GB01021695S	3695
12427	GB01003158S	12254
3633	GB01023976S	48417
15102	GB01024493S	8446
11139	GB01022842S	14932
7863	GB01001858S	25181
5541	GB01000735S	36135
5552	GB01011736S	36071
11543	GB01015655S	13903
3328	GB01016513S	51012
17472	GB01007533S	2127
16014	GB01002126S	6488
5387	GB01007532S	37082
3340	GB01007832S	50930
18606	GB01022913S	376
644	GB01003544S	147553
13466	GB01015735S	10881
12996	GB01009685S	11481
5325	GB01001669S	37439
6221	GB01008513S	32413
67	GB01003820S	309308
1691	GB01008110S	79293
1756	GB01003387S	77228
10295	GB01011190S	17276
10324	GB01019732S	17207
18291	GB01023037S	776
5659	GB01023078S	35355
14561	GB01010321S	9335
17923	GB01020655S	1297
18757	GB01011576S	2
1229	GB01003915S	100516
7889	GB01020345S	25097
11374	GB01009686S	14284
964	GB01000280S	116949
13867	GB01017203S	10339
16780	GB01017043S	4122
17001	GB01010790S	3395
7411	GB01003406S	26844
7872	GB01015872S	25154
4673	GB01011245S	41106
10970	GB01022071S	15381
5443	GB01000600S	36725
12842	GB01019603S	11682
10323	GB01003205S	17209
13622	GB01019674S	10668
2717	GB01015254S	57169
12253	GB01012438S	12501
12265	GB01018239S	12490
15279	GB01002348S	8082
11115	GB01016720S	14996
6671	GB01008695S	30207
6047	GB01023625S	33237
3390	GB01011346S	50414
18169	GB01021862S	977
10771	GB01009066S	15968
9463	GB01009781S	19665
13432	GB01019922S	10921
10380	GB01009084S	17038
14598	GB01018385S	9287
4950	GB01023725S	39647
18459	GB01020686S	576
9543	GB01015855S	19444
3782	GB01017946S	47158
16813	GB01017173S	4009
16931	GB01017167S	3605
7755	GB01010701S	25504
3093	GB01017428S	53195
17016	GB01017208S	3340
10278	GB01009273S	17336
16271	GB01019084S	5732
11666	GB01009966S	13647
6553	GB01022592S	30774
3341	GB01007846S	50912
2588	GB01017859S	58484
306	GB01002779S	193571
15743	GB01013904S	7058
18157	GB01020914S	998
2770	GB01020544S	56519
11948	GB01017334S	13086
2571	GB01020511S	58704
2105	GB01017556S	68152
2664	GB01000560S	57724
10979	GB01012994S	15358
703	GB01000329S	141796
1706	GB01003258S	78918
4662	GB01023603S	41161
1962	GB01011636S	71560
12841	GB01017374S	11683
7708	GB01015960S	25653
4457	GB01017699S	42445
682	GB01000720S	143914
2383	GB01000495S	61504
17025	GB01017146S	3316
4929	GB01010636S	39730
17039	GB01002374S	3274
3612	GB01023854S	48569
17599	GB01020937S	1815
3954	GB01008041S	45909
17881	GB01021688S	1347
7273	GB01021363S	27425
12061	GB01018747S	12831
13113	GB01012516S	11323
8067	GB01019040S	24323
260	GB01002468S	204512
15320	GB01020140S	8004
6565	GB01001805S	30741
2804	GB01016554S	56157
2625	GB01017417S	58174
18477	GB01018706S	561
12663	GB01016916S	11901
7771	GB01021494S	25437
2555	GB01012846S	58948
13445	GB01018616S	10904
623	GB01000378S	150024
13750	GB01018984S	10503
14409	GB01011134S	9570
17092	GB01004673S	3119
11220	GB01020442S	14722
18505	GB01022973S	522
14947	GB01018462S	8724
7537	GB01013175S	26342
1853	GB01000265S	74176
9234	GB01013369S	20338
712	GB01000960S	140410
12442	GB01019977S	12210
4956	GB01010386S	39621
7902	GB01012129S	25032
3218	GB01011545S	51930
6072	GB01023778S	33148
3124	GB01011510S	52861
3844	GB01023896S	46734
18308	GB01021928S	751
5280	GB01017854S	37698
14290	GB01020009S	9720
3205	GB01017833S	52070
15186	GB01018870S	8281
9368	GB01020321S	19918
7331	GB01001758S	27193
11713	GB01017158S	13547
18310	GB01003507S	746
4703	GB01023478S	40889
5502	GB01012965S	36421
1894	GB01013025S	73046
2318	GB01013092S	62655
16237	GB01010325S	5816
11177	GB01009039S	14823
10511	GB01009576S	16708
3815	GB01016201S	46965
747	GB01001251S	137231
11843	GB01018444S	13297
880	GB01001458S	123822
8983	GB01019096S	21103
8062	GB01015950S	24343
7023	GB01012973S	28475
10234	GB01009852S	17456
17813	GB01020823S	1452
2260	GB01020479S	63929
3621	GB01012684S	48516
9732	GB01020424S	18941
